0,1,2,3,4,5,6,7,8,9
0.594,0.591,0.486,0.167,0.461,0.517,0.822,0.667,0.686,0.603
0.156,0.082,0.373,0.067,0.659,0.31,0.421,0.211,0.132,0.013
0.869,0.041,0.036,0.0,0.496,0.016,0.758,0.001,0.0,0.0
0.0,0.835,0.142,0.042,0.559,0.359,0.157,0.41,0.609,0.0
0.192,0.541,0.01,0.918,0.0,0.005,0.159,0.328,0.6,0.0
0.477,0.85,0.043,0.0,0.785,0.051,0.119,0.249,0.344,0.0
0.029,0.009,0.271,0.779,0.0,0.137,0.0,0.505,0.822,0.0
0.832,0.39,0.372,0.0,0.182,0.132,0.794,0.034,0.148,0.0
0.0,0.721,0.0,0.259,0.323,0.705,0.0,0.359,0.653,0.0
0.006,0.476,0.23,0.281,0.069,0.492,0.014,0.718,0.9,0.0
0.816,0.163,0.158,0.0,0.576,0.073,0.803,0.0,0.001,0.0
0.0,0.296,0.144,0.712,0.0,0.202,0.0,0.5,0.847,0.0
0.0,0.296,0.144,0.712,0.0,0.202,0.0,0.5,0.847,0.0
0.0,0.296,0.144,0.712,0.0,0.202,0.0,0.5,0.847,0.0
